joe_issue_ID,jp_id,jp_section,jp_institution,jp_division,jp_department,jp_keywords,jp_title,jp_full_text,jp_salary_range,jp_agency_insertion_num,jp_new,locations,JEL_Classifications,Application_deadline,Date_Active
2021-02,111467026,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Hunter College - City University of New York,,,"Demography of well-being 
Health and healthcare
Economics ",Faculty Open Rank - Demography,"Hunter College of the City University of New York (CUNY) seeks candidates with expertise in any of the following areas: the demography of well-being broadly construed (e.g., with respect to health and economics), of inequality, of politics, of health care, and of the transmission and prevention of infectious diseases. Either domestically or internationally oriented research is welcome. All research should be informed by the use of sophisticated quantitative demographic methodology. Rank is open, the departmental home is open, and the position shall begin in Fall 2022 (Spring 2022 possible, if mutually acceptable).
 
The successful candidate will teach undergraduate courses in demographic areas such as those menti0ned above. In addition, it is expected that the candidate would teach doctoral courses in advanced demographic methods and subjects relating to their substantive expertise. They will be expected to seek outside funding and candidates at the Associate level should have a track record of such funding.
 
Duties include: Performs teaching, research and guidance duties in area(s) of expertise. Shares responsibility for committee and department assignments including administrative, supervisory, and other functions.
 
Apply: https://cuny.jobs/new-york-ny/faculty-open-rank-demography/5A56E6B289EE4AEDBD13FB4B8AD65C81/job/


",,,,UNITED STATES New York New York,J1 - Demographic Economics,2021-08-31 00:00:00,2021-10-27 00:00:00
2021-02,111467066,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Gies College of Business,,Department of Business Administration,"marketing
quantitative
strategy
faculty
tenure-track
open rank
faculty
business
business administration
marketing strategy","Open Rank, Tenure-Track Faculty Position in Marketing","Gies College of Business invites applications from qualified individuals for a 100% full-time assistant, associate, or full professor in Marketing within the Department of Business Administration. Preference will be given to those with a quantitative/marketing strategy focus.

Gies is a world leader in research, teaching, and public engagement. We serve the state, the nation, and the world by creating knowledge, preparing students for lives of impact, and addressing critical societal needs through the transfer and application of knowledge. We are interested in candidates who will bring excellence to campus via outstanding research, teaching, and service. 

The University of Illinois offers an outstanding tradition of scholarship and a supportive environment for faculty development and excellence. Gies received a monumental $150 million investment from Larry and Beth Gies. This gift ranks amongst the largest to any business school in U.S. history. This investment will grow and strengthen our investment in students, faculty and world-class programs and will solidify our distinction as a global innovator in business.
 
The Department of Business Administration is a large and diverse unit, which includes graduate and undergraduate programs across seven academic areas.  We offer a uniquely hospitable environment for interdisciplinary work, as well as the opportunity to work with talented doctoral students. We seek like-minded individuals who are committed to engaged scholarship of the highest caliber.

The successful candidate will support the academic excellence of this prestigious and well-respected department. This includes delivering an exceptional experience to highly motivated students; demonstrating promise or a record of scholarly achievement appropriate for the candidate’s rank; contributing to the innovation in programs and curriculum for which the department is known; and advancing the College’s strategic priority of democratizing education.

The University of Illinois is an Equal Opportunity, Affirmative Action employer that recruits and hires qualified candidates without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability or veteran status. For more information, visit http://go.illinois.edu/EEO.

Specific Duties And Responsibilities
Teach at the graduate and undergraduate levels, Conduct research, Perform service for the department, Senior faculty are expected to provide leadership in the department and university

Candidates at advanced ranks must possess a PhD degree; candidates for assistant professor should expect to have completed their doctoral degree (preferably in marketing) by Fall 2022.
Candidates must have strong research as well as demonstrated teaching effectiveness and leadership potential commensurate with position sought.

Salary will be commensurate with rank/experience.

Starting Date: 6/16, 7/16, or 8/16/2022.

For consideration, please create your candidate profile at http://jobs.illinois.edu and upload a letter of intent, curriculum vitae, a sample publication or working paper, evidence of past teaching success, and names and contact information of three professional references by September 2, 2021.  Doctoral candidates must also send three letters of recommendation to business-bahr@business.illinois.edu for inclusion with the application documents.  Interviews may occur prior to the initial closing date; however, the review of applications will continue until suitable candidates are identified. Only applications submitted through the University of Illinois Job Board will be considered.  For questions regarding application procedures, please email business-bahr@business.illinois.edu.  
 
The University of Illinois conducts criminal background checks on all job candidates upon acceptance of a contingent offer. Convictions are not a bar to employment. The University of Illinois System requires candidates selected for hire to disclose any documented finding of sexual misconduct or sexual harassment and to authorize inquiries to current and former employers regarding findings of sexual misconduct or sexual harassment. For more information, visit Policy on Consideration of Sexual Misconduct in Prior Employment. As a qualifying federal contractor, the University of Illinois System uses E-Verify to verify employment eligibility.",,,,UNITED STATES Illinois Champaign,"M3 - Marketing and Advertising
M1 - Business Administration",2021-09-02 00:00:00,2021-10-06 00:00:00
2021-02,111467144,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Harvard University,Faculty of Arts and Sciences,Economics,"faculty
instructor
tenure
professor
senior
Boston
Cambridge
Massachusetts
MA
Northeast
New England",Tenured Professor in Economics,"The Department of Economics seeks to appoint a tenured professor in economics. Applicants are expected to be an acknowledged leader within the field of development economics, and an excellent teacher. Responsibilities include teaching and advising of undergraduates and PhD students.

Basic Qualifications: Candidates are required to have a doctorate.

Additional Qualifications: Demonstrated strong commitment to teaching and research is desired. Candidates should also evince intellectual leadership and impact on the field and potential for significant contributions to the department, the University, and wider scholarly community.

Special Instructions: Please submit a copy of your Curriculum Vitae through Job Opening for Economists (JOE) (https://www.aeaweb.org/joe/). We will begin reviewing applications by September 7, 2021; applications will be reviewed until the position is filled.

Harvard is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, gender identity, sexual orientation, pregnancy and pregnancy-related conditions, or any other characteristic protected by law.

Contact Information: Professor Melissa Dell, Department of Economics, Faculty of Arts and Sciences, Harvard University, Cambridge, MA 02138. melissadell@fas.harvard.edu",,,,UNITED STATES Massachusetts Cambridge,O1 - Economic Development,2021-09-07 00:00:00,2021-10-01 00:00:00
2021-02,111467151,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Cornell University,,,Finance,Tenure Track Faculty Positions – Finance Area,"Tenure Track Faculty Positions – Finance Area
Cornell SC Johnson College of Business
Cornell University

The Cornell SC Johnson College of Business invites applications from qualified individuals for three (3) full time tenure-track faculty positions in our Finance Area, with an intended start date of July 1, 2022. Rank is assistant professor or associate professor, and salary is commensurate with experience and qualifications.  

Responsibilities of the position include: 1) research in area(s) of expertise, 2) teaching basic and advanced courses at the BS, MBA, EMBA and/or Ph.D. levels, 3) supervision of doctoral candidates, and 4) service to the Area, School, and College. 

Candidates will have a Ph.D. (defended or ABD) in Finance or a related field. Preferred candidates will demonstrate significant accomplishment in research, teaching, and service and will complement and extend the strengths of the faculty of the Cornell SC Johnson College of Business.

The Cornell SC Johnson College of Business (established on July 1, 2016) combines three Schools: the Samuel Curtis Johnson Graduate School of Management (Johnson), the Charles H. Dyson School of Applied Economics and Management (Dyson), and the School of Hotel Administration (Hotel School).  

The Finance Area at the Cornell SC Johnson College of Business consists of a large number of faculty with diverse research interests from across our three Schools.

The intent of this process is to recruit two (2) hires for the Johnson School and one (1) hire for the Dyson School. The School that best fits the candidate’s research, teaching and public engagement interests will ultimately serve as the tenure home. Faculty nonetheless have opportunities to teach across the three Schools’ degree programs in order to develop an appealing teaching load. 

The Johnson School offers highly-ranked MBA, Accelerated MBA, Executive MBA, and Ph.D. programs.  Courses and programs are taught at Cornell’s main Ithaca campus, the Cornell Tech campus in New York City, and other locations across the globe.

The Dyson School is a top-ranked undergraduate business program, as well as home to graduate (MPS, MS and Ph.D.) programs in applied economics.

Both tenure-track positions will be based in Ithaca, NY, with potential teaching responsibilities at the new Cornell Tech campus in New York City, the Executive MBA campus in Palisades, NY, and the Cornell-Tsinghua MBA/FMBA.

To be considered for this position, apply at https://academicjobsonline.org/ajo/jobs/19004

For full consideration please ensure that your application is complete by September 15, 2021. Review of applications will begin immediately and continue until the position has been filled.  Applications received after November 30, 2021 will be reviewed if the position has not been filled.

The following materials are required:
•	Letter of interest, with clear indication of position being applied for;
•	Curriculum vitae;
•	Up to three research papers;
•	Three recommendation letters;
•	Statement on Contributions to Diversity; and
•	Report of courses taught and evidence of teaching effectiveness, if available.

Visit the below website for more information on our required statement on contributions to diversity. 
https://facultydevelopment.cornell.edu/department-resources/recruitment/contribution-to-diversity/

Cornell University actively seeks to meet the needs of dual-career couples with its Dual Career program, and is a member of the Upstate New York Higher Education Recruitment Consortium that assists with dual career searches.

Diversity and Inclusion are a part of Cornell University’s heritage. We are a recognized employer and educator valuing AA/EEO, Protected Veterans and Individuals with Disabilities. We also recognize a lawful preference in employment practices for Native Americans living on or near Indian reservations. Cornell University is an innovative Ivy League university and a great place to work. Our inclusive community of scholars, students, and staff impart an uncommon sense of larger purpose, and contribute creative ideas to further the university's mission of teaching, discovery, and engagement.
",,170047,,UNITED STATES New York Ithaca,00 - 00 - Default: Any Field,2021-09-15 00:00:00,2021-10-06 00:00:00
2021-02,111467043,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Harvey Mudd College,,"Humanities, Social Sciences and the Arts","Environmental Economics
Heterodox Economics
Macroeconomics
Economics of Race
Feminist Economics
Ecological Economics
Labor Economics
Development Economics
Critical Political Economy
Post-Marxist Economics
Post-Keyenesian Economics",Assistant Professor of Environmental Economics,"The Department of Humanities, Social Sciences, and the Arts (HSA) at Harvey Mudd College seeks applications for a tenure-track position in environmental economics, beginning fall, 2022. We seek candidates who will teach five undergraduate courses per year, including at least one foundational course in economics; a writing-intensive first-year research seminar; and courses from within their specialization. Specialized courses should include environmental economics and might also address areas such as feminist economics, economics of racism, macroeconomics, development economics, labor economics, and labor and environment. Heterodox approaches, including Marxist economics, critical political economy, post-Keynesian economics, and ecological economics, are welcome, though not required.

Candidates should have completed the Ph.D. degree, have well-developed research interests articulated in a research statement, and demonstrate excellence in teaching undergraduates attested to in teaching evaluations and a thoughtful statement of pedagogy. Demonstrated engagement with teaching students from diverse backgrounds is required.

The deadline for applications is: September 21, 2021. Applicants should submit a covering letter of application, CV, contact information for three references, course evaluations, a statement of teaching philosophy, a research statement, and syllabi of three proposed courses. We invite candidates to address their interests, experience, and future plans for promoting diversity, equity, and inclusion throughout the application package. Those applicants who are selected for the first round of interviews will be asked to submit additional materials, including letters of reference and a sample of scholarly work. Materials can be uploaded to: https://academicjobsonline.org/ajo/jobs/18963

Harvey Mudd College is a highly selective, residential liberal arts college for STEM education, located in Claremont, California. The high caliber of Harvey Mudd students is one of the defining features of the college. In 2020, the acceptance rate was 10 percent, and the average SAT scores of admitted students commonly rank within the top ten of US universities. Harvey Mudd ranks second among the nation's universities for the highest percentage of graduates subsequently earning science and engineering doctorates. An Equal Opportunity Employer, the College is committed to fostering diversity and inclusion in its faculty, staff, and student body. We welcome applications from scholars from a wide variety of backgrounds including those typically underrepresented in college faculties.

The HSA Department offers a broad-based liberal arts program with considerable interaction among faculty representing about fourteen disciplines, and an interest in integrative and interdisciplinary work. The teaching load is five semester-courses a year, including a writing-intensive first-year research seminar. HSA faculty also regularly contribute to the first-year, college-wide Core writing seminar. While HMC does not offer majors in HSA disciplines, as part of the Claremont Consortium, our faculty have significant opportunities for cooperation and collaboration with colleagues at the Claremont Colleges and Claremont Graduate University, all a short walking distance away.

Harvey Mudd College is located in Claremont, California, which is approximately 35 miles east of Los Angeles, at the foot of the San Gabriel Mountains. Compensation is competitive with comparable institutions and includes a full health and retirement benefits package, a slate of teaching and research development opportunities, and relocation costs. Harvey Mudd College is an equal opportunity and affirmative action employer committed to providing a workplace free of discrimination, harassment, and disrespectful or other unprofessional conduct (HMC EEO/Nondiscrimination Statement).

Further Info: https://academicjobsonline.org/ajo/jobs/18963
David Seitz, dseitz@g.hmc.edu",,,,UNITED STATES California Claremont,"Q5 - Environmental Economics
B5 - Current Heterodox Approaches
F6 - Economic Impacts of Globalization
E6 - Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook
J5 - Labor-Management Relations, Trade Unions, and Collective Bargaining",2021-09-21 00:00:00,2021-10-06 00:00:00
2021-02,111467115,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Georgetown University ,,McDonough School of Business, International Political Economy,"Assistant/Associate Professor, International Relations, International Political Economy","Georgetown University’s McDonough School of Business is seeking to hire an assistant professor or a tenured associate professor in the field of international political economy. We are particularly interested in applicants who conduct research on political issues and policy debates related to multinational corporations, international trade or finance, and/or global economic governance, including the regulation of the digital economy. The ideal candidate will have interdisciplinary interests and the potential for excellence in teaching in our joint degree programs with the Walsh School of Foreign Service.  

All applicants should submit a cover letter, CV, and list of references. Applicants for assistant professor should also submit a writing sample, teaching evaluations, and three letters of recommendation. All materials should be submitted via Interfolio: http://apply.interfolio.com/91579

Review of applications will begin October 1, 2021, and to guarantee full consideration your file should be complete by this date. 

Georgetown University is an Equal Opportunity, Affirmation Action Employer fully dedicated to achieving a diverse faculty and staff. All qualified candidates are encouraged to apply and will receive consideration for employment without regard to race, sex, sexual orientation, age, religion, national origin, marital status, veteran status, disability or other categories protected by law.

About The McDonough School of Business
Located in Washington, D.C., Georgetown University’s McDonough School of Business offers unparalleled access to the world’s business, policy, and thought leaders. The school, which attracts faculty and students from around the world, is committed to developing principled leaders capable of making complex business decisions in a global environment and who are dedicated to serving both business and society. Georgetown McDonough offers undergraduate, MBA, Executive MBA, and specialized programs. More information can be found here.

About The Strategy, Economics, Ethics, And Public Policy Area
The SEEPP area includes individuals whose primary research and teaching interests lie in economics, international business, international political economy, and strategy. The area is collegial and multi-disciplinary, with several members crossing disciplinary boundaries in both research and teaching. More information can be found here.

About Georgetown University
Georgetown University is one of the world’s leading academic and research institutions, offering a unique educational experience that prepares the next generation of global citizens to lead and make a difference in the world. We are a vibrant community of exceptional students, faculty, alumni and professionals dedicated to real-world applications of our research, scholarship, faith and service.
Established in 1789, Georgetown is the nation’s oldest Catholic and Jesuit university. Drawing upon the 450-year-old legacy of Jesuit education, we provide students with a world-class learning experience focused on educating the whole person through exposure to different faiths, cultures and beliefs. More information can be found here.

The McDonough School of Business is committed to diversity, equity, and inclusion and views it as a fundamental aspect of the Georgetown community.
",Competitive,JR10769,,UNITED STATES District of Columbia Washington,"F5 - International Relations, National Security, and International Political Economy",2021-10-01 00:00:00,2021-10-06 00:00:00
2021-02,111467247,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",University of Toronto Rotman School of Management,Strategic Management,,Strategic Management,Assistant Professor,"The Rotman School of Management at the University of Toronto invites applications for a full-time tenure stream appointment in the Strategic Management Area. The appointment will be at the rank of Assistant Professor and will commence on July 1, 2022, or shortly thereafter.   Information on the position and application process is available at the below link:
https://jobs.utoronto.ca/job/Toronto-Assistant-Professor-Strategic-Management-ON/549699417/",,,,CANADA Ontario Toronto,M - Business Administration and Business Economics; Marketing; Accounting; Personnel Economics,2021-10-04 00:00:00,2021-09-09 00:00:00
2021-02,111467175,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",The Wharton School – University of Pennsylvania,,"Operations, Information and Decisions",,"Assistant Professor of Operations, Information & Decisions (Tenure Track) ","The Operations, Information and Decisions Department at the Wharton School is seeking applicants for a full-time, tenure-track, Assistant Professor faculty position in all our areas of interest, but with a particular need in operations management. Our faculty is comprised of scholars with a diverse set of backgrounds and interests, and we encourage applicants with degrees in a business discipline, engineering, or social sciences, among others. Applicants must have a Ph.D. (expected completion by June 30, 2023 is acceptable) from an accredited institution and have an outstanding research record or potential in one of our fields of interest. The appointment is expected to begin July 1, 2022.

More information about the Department is available at: https://oid.wharton.upenn.edu/index.cfm 

Interested individuals should complete and submit an online application via our secure website, and must include: 

•	A curriculum vitae 
•	A job market paper 
•	Three letters of recommendation submitted by references 

To apply, please visit this web site: http://apply.interfolio.com/91660
Further materials, including (additional) papers and letters of recommendation, will be requested as needed.  

To ensure full consideration, materials should be received by October 8, 2021. 

Contact: 
OID Department 
The Wharton School 
University of Pennsylvania 3730 Walnut Street 
500 Jon M. Huntsman Hall 
Philadelphia, PA 19104-6340
oidrecruiting@wharton.upenn.edu 


The University of Pennsylvania is an affirmative action/equal opportunity employer. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. ",,,,UNITED STATES Pennsylvania Philadelphia,A - General Economics and Teaching,2021-10-08 00:00:00,2021-10-11 00:00:00
2021-02,111467006,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Eckerd College,Behavioral Sciences,Economics,"Principles of Microeconomics  
Principles of Macroeconomics
Statistics
Intermediate Microeconomic Theory  
Econometrics 
Labor Economics 
Industrial Organization 
Public Finance 
Health Economics 
Intro to Microeconomics of Environment for Environmental Studies",Assistant Professor of Economics,"Economics.  Assistant Professor of Economics, tenure track position, to start in September, 2022.  Ph.D. in Economics required.  Teach seven courses (3-1-3) per academic year, including Principles of Microeconomics and Macroeconomics, Statistics, Intermediate Microeconomic Theory, and upper level Economics electives, to support a strong Economics major and preferably also a Management major.  Electives such as applied Econometrics, Labor Economics, Industrial Organization, Public Finance, Health Economics, of particular interest. Also of interest, Intro to Microeconomics of Environment for Environmental Studies students.  The January Term offers an opportunity to travel abroad with students and teach special topics courses.  Research specialization open.

Participation in an interdisciplinary, values-oriented general education program is required, including a regular rotation in the two-semester first-year program.  Eckerd College, the only independent national liberal arts college in Florida, has a tradition of innovative education and teaching/mentoring excellence.  Submit a letter of application, vita, teaching evaluations, statement of teaching philosophy, research agenda, graduate and undergraduate transcripts, and contact information for three references so that letters of recommendation can be requested, via https://eckerd.hirecentric.com/jobs/.  Applications must be complete by October 15, 2021.  Inquiries may be sent to Dr. Peter Hammerschmidt, hammerpk@eckerd.edu.  

Eckerd College is committed to fostering a diverse faculty, staff, and student body, and an inclusive campus community. Eckerd is an equal opportunity employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, age, gender identity, national origin, disability, veteran status, or any other characteristic protected by law. Eckerd College is especially interested in attracting candidates from historically underrepresented groups.
",,,,UNITED STATES Florida Saint Petersburg,"A2 - Economic Education and Teaching of Economics
A - General Economics and Teaching",2021-10-15 00:00:00,2021-10-27 00:00:00
2021-02,111467542,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",North Dakota State University,,Agribusiness and Applied Economics,,Assistant Professor of Economics,"Assistant Professor of Economics.
Department of Agribusiness and Applied Economics, North Dakota State University, Fargo.
Tenure track, 80% teaching, 20% research, academic year appointment. 

The successful candidate will be expected to develop leadership in the department's teaching and research programs in macroeconomics. Teaching responsibilities will include intermediate macroeconomics, and doctoral level macroeconomic theory and econometrics. The teaching load will include four to five courses per year depending upon the department's needs and the candidate's research and teaching interests. The successful candidate will be required to establish a high-quality research program. Faculty evaluations in the department are based on effective teaching and advising at both the undergraduate and graduate levels; successful publication in leading disciplinary journals; active participation in professional activities; satisfactory service to the department, university, state, and profession; and successful pursuit of extramural funding sufficient to support an active research program.

Minimum qualifications:
1.	an earned Ph.D. in economics by August 15, 2022;
2.	demonstrated research expertise in macroeconomics and econometrics;
3.	ability to publish high-impact research in quality academic journals;
4.	ability to teach Ph.D. courses in macroeconomics and econometrics;
5.	evidence of teaching effectiveness;
6.	effective oral and written communication skills.

Preferred qualifications:
1.	 a research agenda and teaching interests in at least two of the following: time series econometrics, monetary economics, international finance, financial economics, fiscal policy, or labor economics;
2.	 record of high-quality publications in macroeconomics, econometrics, international finance, or financial economics;
3.	 ability to obtain extramural support for research activities.

The position offers a competitive salary and benefits package. Appointment will be at the Assistant Professor level.

Position Available: August 16, 2022. 
Application Deadline: Screening of applicants will begin October 15, 2021 and continue until the position is filled. 
Application Procedures: Applicants must submit 1) a letter of application with a statement of qualifications and interests, 2) a complete curriculum vitae including the names and contact information of three professional references, 3) a job market paper, 4) all graduate school transcripts, 5) copies of teaching evaluations, if available, and 6) up to three additional research papers to https://jobs.ndsu.edu. All documents must be submitted in pdf format and electronic submission of application is required. Letters of reference will be requested from short-listed candidates after the initial screening of applications. Questions may be directed to Dr. Siew Lim, Chair of the Search Committee, at siew.lim@ndsu.edu. 
NDSU is an ADVANCE institution and Carnegie High Research Activity Institution.
",Commensurate with experience.,,,UNITED STATES North Dakota Fargo,"E - Macroeconomics and Monetary Economics
C3 - Multiple or Simultaneous Equation Models; Multiple Variables
F3 - International Finance
F4 - Macroeconomic Aspects of International Trade and Finance
G - Financial Economics",2021-10-15 00:00:00,2021-08-19 00:00:00
